time_ms,roll_approx_deg,roll_err_deg,roll_cmd_dps,pitch_approx_deg,pitch_err_deg,pitch_cmd_dps,roll_mot_speed,roll_mot_angle,pitch_mot_speed,pitch_mot_angle
6973.0,1.581,2.361,-63.154,-1.783,-2.664,-4.628,0.0,-79.0,0.0,-459.0
6994.0,1.581,2.36,-39.57,-1.797,-2.684,-3.445,0.0,-79.0,5.0,-459.0
7014.0,1.581,2.36,-29.017,-1.79,-2.673,-2.743,0.0,-79.0,0.0,-459.0
7035.0,1.588,2.37,-24.57,-1.783,-2.663,-2.395,0.0,-79.0,0.0,-459.0
7055.0,1.581,2.359,-21.053,-1.783,-2.662,-2.263,0.0,-79.0,0.0,-459.0
7075.0,1.574,2.349,-19.375,-1.783,-2.662,-2.194,0.0,-79.0,0.0,-459.0
7095.0,1.567,2.338,-18.527,-1.742,-2.599,-1.944,0.0,-79.0,0.0,-459.0
7115.0,1.567,2.338,-18.636,-1.602,-2.39,-1.313,0.0,-79.0,0.0,-459.0
7134.0,1.553,2.317,-17.406,-1.427,-2.129,-0.71,0.0,-79.0,0.0,-459.0
7155.0,1.539,2.296,-16.827,-1.252,-1.868,-0.381,-10.0,-80.0,0.0,-459.0
7174.0,1.539,2.296,-17.633,-1.098,-1.638,-0.15,-16.0,-80.0,0.0,-459.0
7194.0,1.525,2.275,-16.805,-0.958,-1.43,-0.043,-16.0,-80.0,0.0,-459.0
7215.0,1.504,2.244,-15.885,-0.79,-1.179,0.211,-5.0,-80.0,0.0,-459.0
7235.0,1.483,2.212,-15.172,-0.574,-0.856,0.702,-21.0,-80.0,0.0,-459.0
7255.0,1.455,2.171,-14.067,-0.308,-0.459,1.319,-16.0,-80.0,0.0,-459.0
7274.0,1.413,2.108,-11.969,0.014,0.021,2.051,-16.0,-81.0,0.0,-459.0
7295.0,1.378,2.056,-11.643,0.357,0.532,2.706,-10.0,-81.0,0.0,-459.0
7314.0,1.35,2.015,-11.583,0.608,0.908,2.839,-5.0,-81.0,0.0,-459.0
7334.0,1.336,1.994,-12.708,0.762,1.138,2.512,-5.0,-82.0,0.0,-459.0
7355.0,1.322,1.973,-13.211,0.846,1.263,2.091,-10.0,-82.0,0.0,-459.0
7374.0,1.308,1.952,-13.284,0.916,1.367,1.901,0.0,-82.0,0.0,-459.0
7395.0,1.308,1.952,-14.518,1.028,1.534,2.026,0.0,-82.0,0.0,-459.0
